40-54,none,none,0,m,27,1992,driver,0,2
40-54,none,none,0,f,24,1992,pass,0,2
55+,airbag,belted,1,m,18,1999,driver,1,3
55+,airbag,belted,1,m,58,2000,driver,1,3
40-54,none,belted,0,m,74,1989,driver,0,0
55+,airbag,belted,1,m,27,1999,driver,0,0
55+,airbag,belted,1,f,26,1999,pass,0,0
40-54,none,none,0,m,41,1982,driver,0,3
40-54,none,none,0,m,46,1982,pass,0,2
55+,airbag,belted,1,m,54,1994,driver,1,0
40-54,airbag,none,1,m,29,1991,driver,0,0
40-54,none,none,1,m,21,1988,driver,0,0
40-54,none,none,1,m,18,1988,pass,0,0
40-54,none,belted,0,m,83,1985,driver,0,2
40-54,none,belted,0,f,66,1985,pass,0,1
40-54,none,none,1,m,35,1963,driver,0,3
40-54,airbag,belted,0,m,25,1994,driver,0,0
40-54,airbag,belted,0,f,23,1994,pass,0,2
40-54,none,none,1,m,45,1973,driver,0,1
40-54,none,none,1,f,31,1973,pass,0,1
40-54,none,belted,1,f,51,1990,driver,0,3
40-54,none,belted,0,m,18,1979,driver,0,0
40-54,none,none,0,m,16,1979,pass,0,0
40-54,none,belted,1,f,49,1992,driver,0,2
40-54,none,belted,1,f,18,1992,pass,0,0
25-39,none,none,1,m,19,1994,driver,0,NA
40-54,none,none,1,m,26,1986,driver,0,0
40-54,none,belted,0,m,74,1993,driver,0,0
40-54,none,belted,1,m,76,1990,driver,0,0
40-54,none,belted,0,f,62,1991,driver,0,3
40-54,none,none,0,f,40,1991,pass,0,3
25-39,none,none,1,m,22,1995,driver,0,1
25-39,none,belted,1,f,23,1995,pass,0,2
40-54,none,belted,0,f,57,1989,driver,0,0
40-54,none,belted,0,f,25,1989,pass,0,0
55+,none,none,0,m,16,1993,driver,0,0
55+,none,none,0,m,16,1993,pass,0,0
25-39,none,none,0,m,47,1978,driver,0,2
25-39,airbag,belted,1,f,34,2000,driver,1,2
40-54,airbag,none,1,m,20,1999,driver,1,1
40-54,airbag,none,1,f,20,1999,pass,1,1
40-54,airbag,none,1,f,25,1999,driver,1,1
40-54,none,none,1,m,43,1988,driver,0,3
25-39,airbag,belted,1,m,22,1993,driver,1,1
40-54,airbag,belted,0,f,80,1995,driver,1,2
40-54,airbag,none,0,f,43,1995,pass,1,2
25-39,airbag,belted,1,f,20,1991,driver,1,2
25-39,none,none,1,f,36,1991,pass,0,2
40-54,airbag,belted,1,m,73,1995,driver,1,0
25-39,airbag,belted,1,f,69,1993,driver,1,2
40-54,airbag,belted,0,f,59,1998,driver,0,1
40-54,airbag,belted,0,f,72,1998,pass,0,1
40-54,none,belted,1,m,87,1988,driver,0,1
40-54,airbag,belted,1,f,46,1999,driver,1,1
40-54,airbag,none,1,m,19,1996,driver,1,2
40-54,airbag,none,1,m,29,1999,driver,0,0
25-39,none,none,0,f,41,1983,driver,0,1
40-54,none,none,1,f,25,1990,driver,0,3
40-54,none,none,1,m,27,1990,pass,0,2
40-54,none,none,1,f,17,1986,driver,0,0
40-54,none,none,1,f,17,1986,pass,0,2
40-54,airbag,belted,1,f,49,1998,driver,1,0
25-39,airbag,none,0,m,16,1999,driver,0,1
25-39,airbag,belted,0,f,21,1998,driver,1,3
25-39,none,none,1,m,27,1989,driver,0,1
40-54,airbag,belted,1,f,23,1995,driver,1,1
40-54,airbag,belted,1,f,53,1995,pass,1,0
25-39,airbag,belted,1,f,21,1996,driver,1,0
40-54,none,belted,0,m,57,1994,driver,0,0
40-54,none,belted,0,f,57,1994,pass,0,0
25-39,airbag,none,1,m,84,1996,driver,1,3
55+,none,none,1,f,50,1986,driver,0,3
55+,none,none,1,f,17,1986,pass,0,3
40-54,none,none,1,m,50,1970,driver,0,3
40-54,airbag,belted,1,f,59,1997,driver,0,2
25-39,none,belted,1,f,41,1988,driver,0,0
40-54,none,none,1,m,20,1995,driver,0,2
40-54,airbag,none,0,m,19,1996,driver,0,2
40-54,airbag,none,0,f,19,1996,pass,0,2
40-54,airbag,belted,0,m,30,1995,driver,0,1
40-54,airbag,belted,0,m,18,1995,pass,0,1
40-54,none,none,1,m,16,1975,driver,0,3
40-54,none,belted,1,m,34,1986,driver,0,1
40-54,none,belted,1,f,29,1986,pass,0,1
40-54,airbag,belted,0,f,84,1996,driver,0,1
40-54,airbag,belted,1,f,30,1998,driver,1,1
25-39,airbag,belted,1,m,75,1995,driver,1,2
25-39,airbag,belted,1,f,69,1995,pass,1,2
25-39,none,belted,1,m,83,1988,driver,0,3
55+,none,belted,0,m,82,1992,driver,0,0
40-54,airbag,belted,1,f,62,1999,driver,0,3
40-54,airbag,belted,1,f,64,1993,driver,1,0
25-39,none,none,0,m,19,1981,driver,0,3
25-39,airbag,belted,1,f,24,1997,driver,1,0
40-54,none,belted,1,m,77,1991,driver,0,0
40-54,none,belted,1,f,75,1991,pass,0,3
25-39,none,belted,1,f,41,1990,driver,0,3
25-39,airbag,belted,0,m,81,1997,driver,1,0
25-39,airbag,belted,0,f,66,1997,pass,1,3
25-39,none,belted,1,f,19,1994,driver,0,3
25-39,airbag,none,1,m,71,1998,driver,0,3
40-54,airbag,belted,1,f,66,1998,driver,1,2
40-54,none,belted,0,f,50,1993,driver,0,0
40-54,none,belted,0,f,83,1993,pass,0,3
40-54,none,belted,1,f,28,1994,driver,0,3
25-39,none,belted,1,f,80,1989,driver,0,3
25-39,none,belted,1,m,41,1986,driver,0,1
40-54,airbag,belted,1,f,82,1999,driver,1,1
40-54,none,belted,1,m,71,1986,driver,0,3
40-54,none,none,1,f,69,1986,pass,0,3
40-54,airbag,belted,1,m,53,2000,driver,0,1
40-54,none,none,0,m,29,1990,driver,0,3
40-54,airbag,none,1,m,47,1996,driver,1,3
55+,none,belted,0,m,21,1984,driver,0,4
55+,none,belted,0,m,21,1984,pass,0,0
40-54,airbag,belted,1,m,47,1998,driver,1,2
55+,none,belted,1,f,43,1978,driver,0,3
40-54,none,belted,0,m,70,1981,driver,0,2
25-39,airbag,belted,0,m,19,1998,driver,0,0
25-39,airbag,belted,0,m,18,1998,pass,0,3
40-54,none,none,1,m,19,1994,driver,0,2
55+,none,none,1,f,50,1995,driver,0,4
40-54,none,belted,1,f,72,1985,driver,0,1
40-54,none,belted,0,f,16,1982,driver,0,0
40-54,none,none,0,f,19,1982,pass,0,1
25-39,none,belted,1,m,19,1989,driver,0,0
25-39,none,belted,1,m,20,1989,pass,0,1
40-54,airbag,belted,1,f,51,2000,driver,1,2
25-39,airbag,belted,1,m,71,1999,driver,1,0
25-39,none,belted,1,f,75,1990,driver,0,3
40-54,none,belted,1,f,70,1991,driver,0,0
40-54,none,belted,0,m,16,1976,driver,0,3
40-54,none,belted,0,m,17,1976,pass,0,3
40-54,none,belted,0,f,16,1990,driver,0,3
25-39,airbag,belted,0,f,53,1997,driver,0,2
25-39,airbag,belted,0,f,54,1997,pass,0,2
25-39,none,belted,1,f,26,1986,driver,0,3
40-54,airbag,belted,1,f,35,1995,driver,0,0
40-54,airbag,belted,1,f,34,1995,pass,0,0
40-54,none,belted,0,f,70,1991,driver,0,3
40-54,airbag,none,1,f,26,1998,driver,0,2
40-54,airbag,belted,0,m,26,1994,driver,1,3
40-54,none,belted,0,f,29,1994,pass,0,3
25-39,airbag,belted,1,m,21,1996,driver,0,3
40-54,airbag,belted,0,f,39,1995,driver,1,3
55+,airbag,none,0,f,25,1995,driver,0,3
55+,none,belted,1,m,33,1996,driver,0,0
25-39,none,belted,0,m,42,1986,driver,0,0
40-54,none,none,1,f,44,1982,driver,0,3
40-54,airbag,belted,0,m,78,1999,driver,0,3
40-54,none,none,1,f,36,1987,driver,0,3
25-39,none,none,1,f,35,1987,driver,0,3
25-39,none,none,1,m,44,1987,pass,0,3
25-39,none,belted,0,f,43,1994,driver,0,3
25-39,none,belted,0,m,71,1978,driver,0,2
40-54,airbag,belted,1,m,30,1997,driver,1,2
40-54,airbag,belted,1,f,29,1997,pass,1,3
25-39,airbag,belted,1,f,30,2000,driver,1,2
25-39,airbag,belted,1,f,59,2000,pass,1,3
40-54,none,belted,1,m,71,1990,driver,0,3
40-54,none,belted,1,f,65,1990,pass,0,3
25-39,none,belted,0,f,61,1988,driver,0,3
25-39,none,belted,0,m,64,1988,pass,0,4
40-54,none,belted,1,f,48,1989,driver,0,3
40-54,none,belted,1,m,18,1988,driver,0,0
40-54,none,belted,1,m,21,1988,pass,0,2
40-54,airbag,none,0,f,42,1998,driver,1,3
40-54,none,none,0,f,30,1988,pass,0,2
40-54,airbag,belted,0,m,97,2000,driver,0,1
40-54,airbag,belted,1,m,17,1998,driver,1,3
40-54,airbag,belted,1,m,26,1999,driver,0,1
40-54,airbag,none,1,f,33,2000,driver,0,1
40-54,airbag,none,1,m,32,2000,pass,0,1
40-54,airbag,none,1,m,93,1996,driver,1,0
40-54,airbag,none,1,f,89,1996,pass,1,3
40-54,none,belted,0,f,39,1990,driver,0,0
25-39,airbag,belted,1,m,66,1994,driver,1,1
25-39,airbag,belted,1,m,42,2000,driver,1,1
25-39,airbag,belted,1,f,48,2000,pass,1,1
40-54,none,none,1,m,18,1988,driver,0,2
40-54,none,belted,1,m,17,1988,pass,0,3
25-39,airbag,belted,0,m,19,1991,driver,0,2
25-39,airbag,belted,0,f,20,1991,pass,0,2
25-39,airbag,belted,1,m,30,1997,driver,1,3
25-39,airbag,belted,1,m,28,1997,pass,1,2
25-39,airbag,none,1,f,43,1999,driver,1,2
40-54,airbag,belted,1,m,19,1996,driver,1,0
40-54,airbag,belted,1,m,17,1996,pass,1,1
25-39,airbag,none,1,m,85,1999,driver,1,1
25-39,airbag,none,1,f,83,1999,pass,1,4
25-39,none,belted,1,f,53,1987,driver,0,2
25-39,none,belted,1,f,48,1982,driver,0,3
25-39,none,belted,1,f,22,1982,pass,0,2
40-54,none,none,1,m,40,1985,driver,0,4
55+,none,belted,0,m,19,1984,driver,0,2
55+,none,belted,0,m,17,1984,pass,0,4
40-54,airbag,belted,1,f,33,1999,driver,1,1
25-39,none,none,1,m,40,1988,driver,0,3
40-54,none,none,1,m,53,1970,driver,0,2
40-54,airbag,belted,1,f,69,1990,driver,1,5
40-54,airbag,belted,0,f,57,1999,driver,0,1
40-54,airbag,belted,0,m,35,1999,driver,0,0
55+,airbag,belted,1,m,32,1999,driver,0,1
25-39,none,belted,1,m,24,1987,driver,0,1
40-54,airbag,belted,0,f,56,1995,driver,0,2
40-54,airbag,belted,0,f,84,1995,pass,0,4
40-54,none,none,1,m,29,1990,driver,0,3
25-39,airbag,belted,1,m,18,1996,driver,1,2
25-39,airbag,belted,1,f,18,1996,pass,1,2
25-39,none,belted,0,m,45,1986,driver,0,1
40-54,airbag,belted,0,m,40,1998,driver,0,0
40-54,airbag,belted,0,m,60,1997,driver,0,0
40-54,airbag,belted,0,m,26,1997,pass,0,0
25-39,airbag,belted,0,f,25,2000,driver,0,0
25-39,airbag,belted,0,m,54,2000,pass,0,3
55+,none,belted,1,m,42,1990,driver,0,0
55+,none,belted,1,f,17,1990,pass,0,0
25-39,none,belted,1,f,37,1993,driver,0,1
25-39,none,belted,1,f,79,1993,pass,0,1
55+,airbag,belted,1,m,38,1999,driver,1,3
40-54,none,none,1,m,18,1991,pass,0,2
55+,none,none,1,m,32,1985,driver,0,3
40-54,none,belted,1,f,38,1989,driver,0,3
25-39,none,belted,0,m,60,1987,driver,0,2
40-54,none,none,1,f,27,1988,driver,0,1
40-54,none,none,1,f,45,1985,driver,0,4
40-54,airbag,belted,1,m,81,1996,driver,1,2
40-54,none,belted,0,m,45,1994,driver,0,1
40-54,airbag,belted,1,m,41,1997,driver,1,1
40-54,airbag,belted,0,f,21,1997,driver,0,3
25-39,none,none,1,m,49,1986,driver,0,3
25-39,airbag,belted,1,m,45,1999,driver,1,2
40-54,none,none,1,m,25,1987,driver,0,3
40-54,none,none,1,f,21,1987,pass,0,3
40-54,none,belted,1,f,32,1988,driver,0,3
55+,none,belted,0,m,46,1985,driver,0,3
40-54,airbag,none,1,m,31,2000,driver,0,2
40-54,airbag,belted,1,m,36,1996,driver,1,3
